地段位置或門牌,社區簡稱,交易日期,總價(萬元),"單價
(萬元/坪)","總面積
(坪)",主建物佔比,型態,屋齡,樓別/樓高,交易標的,交易筆棟數,建物現況格局,"車位總價
(萬元)",管理組織,電梯,主要用途,備註
士林區中山北路七段１００巷１０號四樓,,112/07/27,1880,53.72,35,100.00%,公寓(5樓含以下無電梯),48,"四層,陽台/四層",房地(土地+建物),土:2 建:1車:0,4房3廳2衛,,無,無,住家用,頂樓加蓋;
士林區通河西街一段１０４號二樓,,112/07/27,920,42.83,21.48,100.00%,公寓(5樓含以下無電梯),55,二層/四層,房地(土地+建物),土:1 建:1車:0,3房1廳1衛,,無,無,住家用,
士林區文林路５９４巷１８號五樓,,112/07/26,1768,55.17,32.05,70.35%,公寓(5樓含以下無電梯),41,五層/五層,房地(土地+建物),土:1 建:1車:0,4房2廳2衛,,無,無,住家用,陽台外推;頂樓加蓋;其他增建;
士林區後港街１８５號四樓,,112/07/26,3050,37.96,80.35,74.95%,華廈(10層含以下有電梯),35,四層/五層,房地(土地+建物),土:1 建:1車:0,1廳1衛,,無,有,工業用,有一使用權車位陽台外推;
士林區天玉街３８巷１２號六樓之２,天母蘭桂坊,112/07/26,720,88.55,8.13,58.48%,住宅大樓(11層含以上有電梯),26,六層/十一層,房地(土地+建物),土:1 建:1車:0,,,有,有,住家用,陽台外推;
士林區華榮街７０號二樓,,112/07/26,72500,0,360.94,,透天厝,48,全/二層,房地(土地+建物),土:4 建:7車:0,25房6廳23衛,,無,無,商業用,地政士僅受託買賣案件申請登記，並未代理撰擬不動產買賣契約書，本成交資訊係由義務人自行提供屬實。(本案為危老案)頂樓加蓋;其他增建;具重建或重劃、都更等效益;
士林區社中街１５２巷１６號二樓,,112/07/25,1220,45.13,27.03,91.64%,公寓(5樓含以下無電梯),52,二層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳1衛,,無,無,住家用,親友、員工、共有人或其他特殊關係間之交易;陽台外推;
士林區承德路四段６巷９５號二樓,,112/07/25,2403.8,81.75,36.19,50.31%,華廈(10層含以下有電梯),,二層/七層,房地(土地+建物)+車位,土:1 建:1車:1,2房2廳1衛,200,有,有,住家用,預售屋、或土地及建物分件登記案件;
士林區重慶北路四段２２２號十樓之３,士科京璽,112/07/25,1950,69.02,31.81,54.97%,住宅大樓(11層含以上有電梯),6,十層/十四層,房地(土地+建物)+車位,土:2 建:1車:1,1房1廳1衛,150,有,有,住家用,
士林區通河西街二段８５號,,112/07/25,1500,62.61,23.96,100.00%,公寓(5樓含以下無電梯),48,"一層,平台/四層",房地(土地+建物),土:1 建:1車:0,4房2廳1衛,,無,無,住家用,
士林區承德路四段１２巷２５號,,112/07/24,2380,81.6,29.17,100.00%,公寓(5樓含以下無電梯),53,一層/四層,房地(土地+建物),土:1 建:1車:0,3房2廳1衛,,無,無,住家用,其他增建;
士林區中山北路五段６９８巷３６號二樓,,112/07/24,1950,73.25,26.62,90.65%,公寓(5樓含以下無電梯),38,二層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳1衛,,無,無,住家用,鐵欄杆外推、懸空增建陽台外推;其他增建;
士林區中山北路六段３５巷１０號六樓,筑丰天母,112/07/24,7920,89.42,88.57,37.30%,住宅大樓(11層含以上有電梯),7,六層/二十一層,房地(土地+建物)+車位,土:1 建:1車:3,3房2廳2衛,960,有,有,住家用,
士林區福德路５７巷３９號,,112/07/24,60,0,2.24,,透天厝,63,全/二層,房地(土地+建物),土:1 建:1車:0,3房2廳1衛,,無,無,住家用,親友、員工、共有人或其他特殊關係間之交易;
士林區福港街２５９巷２９弄４號五樓,,112/07/23,1530,56.93,26.88,85.39%,公寓(5樓含以下無電梯),43,五層/五層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,無,無,住家用,陽台外推;頂樓加蓋;
士林區忠誠路二段２１巷４５弄７號五樓,,112/07/23,2088,64.96,32.14,90.83%,公寓(5樓含以下無電梯),40,五層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,陽台外推;其他增建;
士林區天母北路２８巷３９號五樓,天母小西華,112/07/23,1120,90.9,12.32,51.88%,華廈(10層含以下有電梯),15,五層/九層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,有,有,住家用,陽台外推;夾層;
士林區延平北路五段２４４巷１２號四樓,,112/07/23,1050,68.41,15.35,100.00%,公寓(5樓含以下無電梯),52,四層/四層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,無,無,住家用,頂樓加蓋;其他增建;
士林區福國路５０巷６弄６號四樓,,112/07/23,1610,66.28,24.29,83.20%,公寓(5樓含以下無電梯),44,四層/四層,房地(土地+建物),土:4 建:1車:0,3房2廳1衛,,無,無,住家用,陽台外推;其他增建;
士林區中正路６９０號二樓之２,永新大廈,112/07/23,1445,45.43,31.8,72.91%,華廈(10層含以下有電梯),25,二層/九層,房地(土地+建物)+車位,土:3 建:1車:1,2房2廳1衛,,有,有,住家用,陽台外推;其他增建;
士林區雨農路８０號五樓,雨農山莊,112/07/23,3500,52.34,66.86,52.82%,住宅大樓(11層含以上有電梯),18,五層/十二層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,有,住家用,其他增建;
士林區承德路四段３巷２１號三樓,,112/07/23,1170,55.4,21.12,94.90%,公寓(5樓含以下無電梯),55,三層/三層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,無,無,住家用,陽台外推;頂樓加蓋;
士林區後街２１巷１３號五樓之１,大杰士林閤,112/07/22,1090,63.71,17.11,53.94%,華廈(10層含以下有電梯),28,五層/七層,房地(土地+建物),土:1 建:2車:0,1房1廳1衛,,有,有,住家用,
士林區天母東路６９巷１１之６號二樓,僑資華廈,112/07/22,3508,68.04,51.56,78.82%,華廈(10層含以下有電梯),46,二層/八層,房地(土地+建物),土:4 建:1車:0,4房2廳2衛,,有,有,住家用,陽台外推;其他增建;
士林區文林路７６３號九樓之１,寶殿大廈,112/07/21,390,62.89,6.2,83.27%,住宅大樓(11層含以上有電梯),42,九層/十一層,房地(土地+建物),土:1 建:1車:0,1房1衛,,有,有,住家用,懸空增建其他增建;
士林區德行東路２６５巷５號二樓,,112/07/21,1660,51.94,31.96,88.03%,公寓(5樓含以下無電梯),44,二層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,其他增建:鐵鋁窗其他增建;
士林區延平北路六段３９２巷６號九樓之８,,112/07/21,920,40.47,22.73,61.44%,住宅大樓(11層含以上有電梯),17,九層/十一層,房地(土地+建物)+車位,土:1 建:1車:1,2房1廳1衛,,有,有,住家用,夾層;
士林區格致路５５巷３０弄２號,,112/07/21,781,0,14.62,,透天厝,54,全/二層,房地(土地+建物),土:1 建:1車:0,4房2廳2衛,,無,無,住家用,其他增建為一樓空地親友、員工、共有人或其他特殊關係間之交易;頂樓加蓋;其他增建;
士林區基河路１２８號五樓之３,基河之星,112/07/20,638,78.38,8.14,59.16%,住宅大樓(11層含以上有電梯),27,五層/十一層,房地(土地+建物),土:1 建:1車:0,,,有,有,住家用,
士林區延平北路六段２１１號十一樓之１,鄉林左岸,112/07/20,2500,50.23,59.23,56.92%,住宅大樓(11層含以上有電梯),7,十一層/十一層,房地(土地+建物)+車位,土:4 建:1車:1,3房2廳2衛,150,有,有,住家用,親友、員工、共有人或其他特殊關係間之交易;
士林區中山北路六段４０５巷８９號二樓,谷畫青,112/07/20,6980,84.82,82.3,52.10%,華廈(10層含以下有電梯),6,二層/八層,房地(土地+建物)+車位,土:1 建:2車:2,3房2廳2衛,,有,有,住家用,
士林區福壽街４５號四樓之１,築禾韻,112/07/20,1910,89.29,21.39,51.75%,華廈(10層含以下有電梯),8,四層/七層,房地(土地+建物),土:2 建:1車:0,3房1廳1衛,,有,有,住家用,親友、員工、共有人或其他特殊關係間之交易;
士林區德行東路３３２巷１號四樓,,112/07/19,1900,54.39,34.93,86.16%,公寓(5樓含以下無電梯),41,四層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,陽台外推;其他增建;
士林區天母北路８７巷２弄１５號四樓,,112/07/19,1560,48.99,31.84,92.99%,公寓(5樓含以下無電梯),46,四層/五層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,無,住家用,陽台外推;其他增建;
士林區中社路二段１２８號,,112/07/19,1800,0,31.76,,透天厝,48,全/一層,房地(土地+建物),土:1 建:1車:0,,,無,無,住家用,增建露臺、陽台、頂樓後方平台、玄關、地下一樓、地下二樓。
士林區士東路２１０號三樓,家居雲邸,112/07/19,4680,98.91,53.28,60.59%,住宅大樓(11層含以上有電梯),,三層/十九層,房地(土地+建物)+車位,土:1 建:1車:1,3房2廳2衛,320,有,有,住家用,預售屋、或土地及建物分件登記案件;
士林區中山北路六段４１９巷３號二樓,,112/07/19,2235,68.63,32.56,89.35%,公寓(5樓含以下無電梯),43,二層/五層,房地(土地+建物),土:4 建:1車:0,3房2廳2衛,,無,無,住家用,陽台外推;
士林區士東路４６巷２９號四樓,,112/07/18,1850,58.87,31.43,85.01%,公寓(5樓含以下無電梯),44,四層/五層,房地(土地+建物),土:2 建:1車:0,2房2廳2衛,,無,無,住家用,陽台外推;其他增建;
士林區天玉街７５巷７號,,112/07/18,5480,64.18,85.38,75.26%,公寓(5樓含以下無電梯),44,"一層,二層/五層",房地(土地+建物)+車位,土:1 建:1車:1,6房1廳3衛,,無,無,其他,
士林區重慶北路四段４９巷５５號,萊茵首席,112/07/18,1168,66.53,17.56,63.06%,華廈(10層含以下有電梯),2,一層/七層,房地(土地+建物),土:1 建:1車:0,2房1廳1衛,,有,有,辦公用,其他增建;
士林區中正路６５５巷６號十二樓之１,渼士林,112/07/18,1650,65.03,25.37,60.10%,住宅大樓(11層含以上有電梯),9,十二層/十五層,房地(土地+建物),土:1 建:1車:0,2房1廳1衛,,有,有,住家用,本案含機車位1個
士林區中山北路六段２９０巷３４號二樓,天母華廈,112/07/17,2648,60.35,43.87,88.62%,公寓(5樓含以下無電梯),37,二層/五層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,無,住家用,其他增建;
士林區菁山路５３之２號三樓,陽明帝景,112/07/17,3768,52.91,86.43,63.63%,華廈(10層含以下有電梯),14,三層/五層,房地(土地+建物)+車位,土:1 建:1車:2,3房2廳2衛,500,有,有,住家用,
士林區雨聲街４巷１１號四樓,,112/07/17,1650,55.11,29.94,85.61%,公寓(5樓含以下無電梯),46,四層/四層,房地(土地+建物),土:1 建:1車:0,3房2廳1衛,,無,無,住家用,
士林區延平北路五段１３６巷２７弄６號三樓,,112/07/17,1150,44.71,25.72,94.57%,公寓(5樓含以下無電梯),52,三層/四層,房地(土地+建物),土:1 建:1車:0,1廳1衛,,無,無,住家用,
士林區德行東路２１３號五樓,,112/07/16,1658,50.51,32.82,85.98%,公寓(5樓含以下無電梯),42,五層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,無,住家用,陽台外推;其他增建;
士林區通河西街一段９６號,,112/07/16,1700,65.42,25.99,100.00%,公寓(5樓含以下無電梯),54,一層/四層,房地(土地+建物),土:1 建:1車:0,1廳,,無,無,住家用,其他增建;
士林區社子街２２巷２３弄３號四樓,,112/07/16,780,47.22,16.52,100.00%,公寓(5樓含以下無電梯),48,四層/四層,房地(土地+建物),土:1 建:1車:0,2房1廳1衛,,無,無,住家用,頂樓加蓋;其他增建;
士林區環河北路三段１９３號三樓,,112/07/15,357,24.6,14.51,92.75%,公寓(5樓含以下無電梯),43,三層/五層,房地(土地+建物),土:5 建:1車:0,3房2廳1衛,,無,無,住家用,親友、員工、共有人或其他特殊關係間之交易;
士林區大南路３２５號二樓之１０,新天地,112/07/15,800,64.69,12.37,58.41%,住宅大樓(11層含以上有電梯),16,二層/十四層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,有,有,商業用,其他增建;
士林區承德路四段２９７巷２６號二樓,,112/07/15,1195,69.64,17.16,100.00%,公寓(5樓含以下無電梯),54,二層/三層,房地(土地+建物),土:1 建:1車:0,1房2廳2衛,,無,無,住家用,其他增建;
士林區德行東路１８８號三樓,,112/07/15,1550,76.08,20.37,92.65%,公寓(5樓含以下無電梯),46,三層/四層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,無,無,住家用,
士林區雨聲街２０７號六樓,芝山雨聲,112/07/15,3618,60.94,59.37,68.46%,華廈(10層含以下有電梯),25,六層/七層,房地(土地+建物)+車位,土:1 建:1車:1,3房2廳2衛,,有,有,住家用,夾層;其他增建;
士林區中山北路六段７２８巷６號四樓,,112/07/15,1830,68.47,26.73,90.03%,公寓(5樓含以下無電梯),37,四層/五層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,無,住家用,
士林區福港街３５號,,112/07/14,2020,85.85,23.53,100.00%,公寓(5樓含以下無電梯),51,"一層,騎樓/四層",房地(土地+建物),土:1 建:1車:0,,,無,無,住家用,其他增建;
士林區承德路四段９１號七樓,藏峰,112/07/14,5600,72.03,77.75,61.60%,住宅大樓(11層含以上有電梯),21,七層/十四層,房地(土地+建物)+車位,土:2 建:1車:1,,,有,有,住家用,
士林區通河街３２３巷７１之３號,劍潭國宅D區,112/07/14,480,53.83,8.92,89.15%,公寓(5樓含以下無電梯),53,三層/五層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,有,無,住家用,
士林區大南路３３３號十二樓之１,新天地,112/07/13,5240,50.62,103.51,72.42%,住宅大樓(11層含以上有電梯),16,"十二層,十三層/十四層",房地(土地+建物)+車位,土:1 建:1車:2,6房3廳4衛,,有,有,商業用,陽台外推;其他增建;
士林區天母北路５６號十三樓之２,聯上天母,112/07/13,4168,93.48,54.18,54.24%,住宅大樓(11層含以上有電梯),3,十三層/二十四層,房地(土地+建物)+車位,土:1 建:1車:1,3房2廳2衛,200,有,有,住家用,
士林區雨聲街５３巷４號六樓,雨聲華廈,112/07/13,2580,67.29,38.34,83.46%,華廈(10層含以下有電梯),37,六層/七層,房地(土地+建物),土:1 建:1車:0,4房2廳2衛,,無,有,住家用,陽台外推;
士林區克強路２８號,,112/07/13,4950,103.4,47.87,88.20%,公寓(5樓含以下無電梯),43,"一層,夾層/五層",房地(土地+建物),土:1 建:1車:0,,,無,無,其他,親友、員工、共有人或其他特殊關係間之交易;
士林區明溪街３５巷１號二樓,,112/07/13,1175,37.44,31.38,100.00%,公寓(5樓含以下無電梯),48,二層/四層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,
士林區福港街１１５號四樓,,112/07/13,1350,52.47,25.73,100.00%,公寓(5樓含以下無電梯),48,四層/四層,房地(土地+建物),土:1 建:1車:0,3房2廳1衛,,無,無,住家用,頂樓加蓋;
士林區中山北路七段２２６之２號,望族山莊,112/07/12,4019,62.72,64.08,90.27%,華廈(10層含以下有電梯),36,一層/七層,房地(土地+建物)+車位,土:1 建:1車:1,4房2廳3衛,,有,有,住家用,車位C1編號
士林區天玉街１０４號四樓之２,天母羅丹,112/07/12,988,78.44,12.6,63.04%,華廈(10層含以下有電梯),28,四層/八層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,有,有,住家用,夾層;
士林區至誠路二段９２巷３弄１４號五樓,,112/07/12,1765,39.87,44.27,84.01%,公寓(5樓含以下無電梯),43,五層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,親友、員工、共有人或其他特殊關係間之交易;
士林區中社路二段９１巷２號三樓,,112/07/12,1000,31.86,31.38,100.00%,公寓(5樓含以下無電梯),47,三層/四層,房地(土地+建物),土:1 建:1車:0,4房2廳2衛,,無,無,住家用,
士林區中社路一段６１巷８號,,112/07/11,1168,55.43,21.07,100.00%,公寓(5樓含以下無電梯),48,一層/四層,房地(土地+建物),土:1 建:1車:0,3房1廳1衛,,無,無,住家用,
士林區社中街２８６號五樓,全樂藏悅,112/07/11,2688,47.26,56.88,59.04%,華廈(10層含以下有電梯),14,五層/九層,房地(土地+建物)+車位,土:1 建:1車:1,3房2廳2衛,,有,有,住家用,其他增建;
士林區德行東路１３２巷５弄４號,,112/07/11,0.2,0,0.04,,公寓(5樓含以下無電梯),41,一層/五層,房地(土地+建物),土:4 建:1車:0,3房2廳2衛,,有,無,住家用,政府機關標讓售;地清或未辦繼承標售;
士林區德行東路１３２巷５弄４號,,112/07/11,0,0,0.01,,公寓(5樓含以下無電梯),41,一層/五層,房地(土地+建物),土:4 建:1車:0,,,無,無,住家用,地清或未辦繼承標售;
士林區德行東路１３２巷５弄４號,,112/07/11,0,0,0.01,,公寓(5樓含以下無電梯),41,一層/五層,房地(土地+建物),土:4 建:1車:0,,,無,無,住家用,地清或未辦繼承標售;
士林區德行東路１３２巷５弄４號,,112/07/11,0,0,0.01,,公寓(5樓含以下無電梯),41,一層/五層,房地(土地+建物),土:4 建:1車:0,,,無,無,住家用,地清或未辦繼承標售;
士林區德行東路１３２巷５弄４號,,112/07/11,0,0,0.01,,公寓(5樓含以下無電梯),41,一層/五層,房地(土地+建物),土:4 建:1車:0,,,無,無,住家用,地清或未辦繼承標售;
士林區基河路１２８號五樓之１,基河之星,112/07/10,535,68.47,7.81,58.61%,住宅大樓(11層含以上有電梯),27,五層/十一層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,有,有,住家用,陽台外移其他增建;
士林區華岡路４７巷５號四樓,,112/07/10,1560,40.73,38.3,88.07%,公寓(5樓含以下無電梯),45,四層/四層,房地(土地+建物),土:1 建:1車:0,7房7衛,,無,無,住家用,頂樓加蓋;
士林區延平北路八段９６巷４５號四樓,,112/07/09,625,29.9,20.91,100.00%,公寓(5樓含以下無電梯),53,四層/四層,房地(土地+建物),土:1 建:1車:0,2房1廳1衛,,無,無,住家用,
士林區天母東路８巷２３號七樓之４,華琪,112/07/09,970,70.43,13.77,87.35%,華廈(10層含以下有電梯),47,"七層,陽台/七層",房地(土地+建物),土:2 建:1車:0,1房1廳1衛,,有,有,住家用,
士林區基河路３０號七樓之３,北美館,112/07/09,1425,96.87,14.71,68.06%,住宅大樓(11層含以上有電梯),25,七層/十三層,房地(土地+建物),土:2 建:1車:0,1房2廳1衛,,有,有,住家用,
士林區中山北路七段２１６巷５之１號六樓,福星公爵,112/07/09,2850,51.85,54.96,64.01%,華廈(10層含以下有電梯),37,六層/六層,房地(土地+建物)+車位,土:1 建:1車:1,3房2廳2衛,350,有,有,住家用,頂樓加蓋;
士林區福林路２５１巷８號二樓之２,官隱,112/07/09,1630,64.01,25.46,56.36%,華廈(10層含以下有電梯),8,二層/八層,房地(土地+建物)+車位,土:2 建:1車:1,1房1廳1衛,,有,有,住家用,
士林區忠誠路一段１７１巷１２弄７號六樓,天母懷德A座,112/07/09,5200,83.29,62.43,76.31%,住宅大樓(11層含以上有電梯),14,六層/十二層,房地(土地+建物)+車位,土:2 建:2車:1,4房2廳2衛,,有,有,住家用,
士林區重慶北路四段２２２號十樓,士科京璽,112/07/08,1767,47.14,37.48,54.55%,住宅大樓(11層含以上有電梯),6,十層/十四層,房地(土地+建物)+車位,土:2 建:1車:1,2房1廳1衛,,有,有,住家用,親友、員工、共有人或其他特殊關係間之交易;
士林區華齡街６７號三樓,,112/07/07,1710,56.3,30.37,91.46%,公寓(5樓含以下無電梯),43,三層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳1衛,,無,無,住家用,其他增建;
士林區中社路二段４６巷９號三樓,,112/07/07,400,19.22,20.81,100.00%,公寓(5樓含以下無電梯),47,三層/四層,房地(土地+建物),土:1 建:1車:0,3房2廳1衛,,無,無,住家用,親友、員工、共有人或其他特殊關係間之交易;其他增建;
士林區忠誠路二段１０８號三樓,天母鬱金香,112/07/07,4900,80.66,60.75,74.38%,住宅大樓(11層含以上有電梯),37,三層/十四層,房地(土地+建物),土:1 建:1車:0,4房2廳2衛,,有,有,住家用,陽台外推;其他增建;
士林區中山北路七段４３巷２號四樓,,112/07/07,1638,65.03,25.19,92.54%,公寓(5樓含以下無電梯),45,四層/五層,房地(土地+建物),土:2 建:1車:0,2房2廳3衛,,無,無,住家用,陽台外推;其他增建;
士林區通河東街一段１８１號,,112/07/05,3770,55.73,67.65,66.36%,公寓(5樓含以下無電梯),39,一層/五層,房地(土地+建物),土:1 建:1車:0,1廳2衛,,無,無,工業用,其他增建;
士林區葫蘆街３０巷３９號五樓,,112/07/05,900,32.46,27.73,76.26%,公寓(5樓含以下無電梯),40,五層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,無,住家用,親友、員工、共有人或其他特殊關係間之交易;其他增建;
